Date,^125904-USD-STRD
2002-11-15,880.35
2002-11-18,890.13
2002-11-19,887.93
2002-11-20,879.94
2002-11-21,904.43
2002-11-22,904.72
2002-11-25,892.57
2002-11-26,876.72
2002-11-27,892.59
2002-11-28,903.38
2002-11-29,900.78
2002-12-02,900.58
2002-12-03,883.63
2002-12-04,881.86
2002-12-05,872.46
2002-12-06,874.71
2002-12-09,856.09
2002-12-10,859.84
2002-12-11,868.33
2002-12-12,861.58
2002-12-13,855.41
2002-12-16,876.74
2002-12-17,871.87
2002-12-18,853.62
2002-12-19,849.99
2002-12-20,859.53
2002-12-23,861.54
2002-12-24,865.1
2002-12-26,866.27
2002-12-27,845.58
2002-12-30,858.39
2002-12-31,867.45
2003-01-02,883.39
2003-01-03,891.36
2003-01-06,900.1
2003-01-07,889.23
2003-01-08,873.41
2003-01-09,885.76
2003-01-10,892.33
2003-01-13,893.18
2003-01-14,899.4
2003-01-15,886.39
2003-01-16,885.15
2003-01-17,871.86
2003-01-20,860.96
2003-01-21,852.64
2003-01-22,839.05
2003-01-23,837.0
2003-01-24,833.5
2003-01-27,806.32
2003-01-28,808.02
2003-01-29,813.78
2003-01-30,826.02
2003-01-31,825.8
2003-02-03,839.88
2003-02-04,822.7
2003-02-05,835.07
2003-02-06,817.02
2003-02-07,808.39
2003-02-10,800.19
2003-02-11,814.73
2003-02-12,800.85
2003-02-13,803.35
2003-02-14,812.93
2003-02-17,823.61
2003-02-18,827.67
2003-02-19,812.36
2003-02-20,813.08
2003-02-21,819.66
2003-02-24,806.71
2003-02-25,782.36
2003-02-26,778.89
2003-02-27,781.34
2003-02-28,797.0
2003-03-03,804.78
2003-03-04,790.84
2003-03-05,787.79
2003-03-06,781.62
2003-03-07,769.47
2003-03-10,752.62
2003-03-11,753.2
2003-03-12,726.16
2003-03-13,758.11
2003-03-14,780.79
2003-03-17,800.27
2003-03-18,798.97
2003-03-19,805.9
2003-03-20,804.06
2003-03-21,824.98
2003-03-24,799.31
2003-03-25,810.26
2003-03-26,810.13
2003-03-27,798.91
2003-03-28,797.84
2003-03-31,781.79
2003-04-01,791.38
2003-04-02,808.91
2003-04-03,812.92
2003-04-04,819.92
2003-04-07,841.65
2003-04-08,831.86
2003-04-09,832.68
2003-04-10,826.29
2003-04-11,828.41
2003-04-14,838.96
2003-04-15,853.38
2003-04-16,849.04
2003-04-17,858.52
2003-04-18,858.52
2003-04-21,852.67
2003-04-22,866.22
2003-04-23,876.91
2003-04-24,868.77
2003-04-25,858.36
2003-04-28,875.83
2003-04-29,873.57
2003-04-30,882.79
2003-05-01,886.68
2003-05-02,888.78
2003-05-05,899.06
2003-05-06,916.73
2003-05-07,906.56
2003-05-08,893.01
2003-05-09,902.29
2003-05-12,907.41
2003-05-13,907.77
2003-05-14,908.02
2003-05-15,916.23
2003-05-16,925.16
2003-05-19,905.59
2003-05-20,907.1
2003-05-21,902.57
2003-05-22,913.3
2003-05-23,915.14
2003-05-26,916.79
2003-05-27,922.67
2003-05-28,932.78
2003-05-29,941.82
2003-05-30,935.73
2003-06-02,950.9
2003-06-03,944.28
2003-06-04,950.5
2003-06-05,957.17
2003-06-06,968.07
2003-06-09,960.75
2003-06-10,958.45
2003-06-11,977.69
2003-06-12,982.68
2003-06-13,974.46
2003-06-16,993.83
2003-06-17,1001.58
2003-06-18,996.9
2003-06-19,981.13
2003-06-20,982.58
2003-06-23,958.86
2003-06-24,952.93
2003-06-25,960.06
2003-06-26,949.04
2003-06-27,948.97
2003-06-30,942.25
2003-07-01,932.86
2003-07-02,944.85
2003-07-03,950.72
2003-07-04,945.86
2003-07-07,956.08
2003-07-08,951.25
2003-07-09,945.73
2003-07-10,938.54
2003-07-11,945.77
2003-07-14,957.91
2003-07-15,946.55
2003-07-16,939.23
2003-07-17,928.28
2003-07-18,932.31
2003-07-21,931.71
2003-07-22,938.74
2003-07-23,945.3
2003-07-24,963.72
2003-07-25,961.03
2003-07-28,968.61
2003-07-29,965.52
2003-07-30,960.91
2003-07-31,960.01
2003-08-01,949.88
2003-08-04,950.48
2003-08-05,957.21
2003-08-06,946.23
2003-08-07,950.11
2003-08-08,952.82
2003-08-11,955.96
2003-08-12,959.35
2003-08-13,961.55
2003-08-14,970.49
2003-08-15,971.97
2003-09-01,966.13
2003-09-02,959.96
2003-09-03,972.95
2003-09-04,977.11
2003-09-05,983.4
2003-09-08,994.05
2003-09-09,989.51
2003-09-10,981.93
2003-09-11,983.14
2003-09-12,986.89
2003-09-15,990.13
2003-09-16,991.03
2003-09-17,998.53
2003-09-18,1007.81
2003-09-19,1006.38
2003-09-22,999.67
2003-09-23,996.72
2003-09-24,995.69
2003-09-25,992.25
2003-09-26,981.79
2003-09-29,981.99
2003-09-30,973.87
2003-10-01,993.07
2003-10-02,996.39
2003-10-03,1015.09
2003-10-06,1014.96
2003-10-07,1015.62
2003-10-08,1017.37
2003-10-09,1029.28
2003-10-10,1030.51
2003-10-13,1037.28
2003-10-14,1035.12
2003-10-15,1039.94
2003-10-16,1040.93
2003-10-17,1033.72
2003-10-20,1036.91
2003-10-21,1039.69
2003-10-22,1031.17
2003-10-23,1023.15
2003-10-24,1025.43
2003-10-27,1029.78
2003-10-28,1032.98
2003-10-29,1036.75
2003-10-30,1043.7
2003-10-31,1038.22
2003-11-03,1041.92
2003-11-04,1039.84
2003-11-05,1032.51
2003-11-06,1032.57
2003-11-07,1046.78
2003-11-10,1040.78
2003-11-11,1037.8
2003-11-12,1050.98
2003-11-13,1060.17
2003-11-14,1070.67
2003-11-17,1052.77
2003-11-18,1061.6
2003-11-19,1057.71
2003-11-20,1055.07
2003-11-21,1059.29
2003-11-24,1065.68
2003-11-25,1068.03
2003-11-26,1075.0
2003-11-27,1077.89
2003-11-28,1080.77
2003-12-01,1095.59
2003-12-02,1101.14
2003-12-03,1108.97
2003-12-04,1103.27
2003-12-05,1102.86
2003-12-08,1104.77
2003-12-09,1111.41
2003-12-10,1105.88
2003-12-11,1104.05
2003-12-12,1113.13
2003-12-15,1117.94
2003-12-16,1116.1
2003-12-17,1121.38
2003-12-18,1131.28
2003-12-19,1132.34
2003-12-22,1133.92
2003-12-23,1139.8
2003-12-24,1144.92
2003-12-29,1151.31
2003-12-30,1159.76
2003-12-31,1169.24
2004-01-02,1179.15
2004-01-05,1193.0
2004-01-06,1199.68
2004-01-07,1188.85
2004-01-08,1203.61
2004-01-09,1208.79
2004-01-12,1203.05
2004-01-13,1203.8
2004-01-14,1205.08
2004-01-15,1197.66
2004-01-16,1190.27
2004-01-19,1191.31
2004-01-20,1203.72
2004-01-21,1214.76
2004-01-22,1223.0
2004-01-23,1218.3
2004-01-26,1203.18
2004-01-27,1209.35
2004-01-28,1213.48
2004-01-29,1183.61
2004-01-30,1182.21
2004-02-02,1185.99
2004-02-03,1194.34
2004-02-04,1187.49
2004-02-05,1193.51
2004-02-06,1210.43
2004-02-09,1222.35
2004-02-10,1224.58
2004-02-11,1225.23
2004-02-12,1237.88
2004-02-13,1231.9
2004-02-16,1234.9
2004-02-17,1249.69
2004-02-18,1249.47
2004-02-19,1251.25
2004-02-20,1233.7
2004-02-23,1233.95
2004-02-24,1232.33
2004-02-25,1225.98
2004-02-26,1215.75
2004-02-27,1215.13
2004-03-01,1230.08
2004-03-02,1222.71
2004-03-03,1202.57
2004-03-04,1213.93
2004-03-05,1232.4
2004-03-08,1230.75
2004-03-09,1223.24
2004-03-10,1202.35
2004-03-11,1172.74
2004-03-12,1170.34
2004-03-15,1151.72
2004-03-16,1168.44
2004-03-17,1171.82
2004-03-18,1170.31
2004-03-19,1172.13
2004-03-22,1153.17
2004-03-23,1150.01
2004-03-24,1139.62
2004-03-25,1150.59
2004-03-26,1145.21
2004-03-29,1162.99
2004-03-30,1165.68
2004-03-31,1172.66
2004-04-01,1193.67
2004-04-02,1192.83
2004-04-05,1187.35
2004-04-06,1186.11
2004-04-07,1195.05
2004-04-08,1193.8
2004-04-13,1184.96
2004-04-14,1168.72
2004-04-15,1169.28
2004-04-16,1185.65
2004-04-19,1188.05
2004-04-20,1184.88
2004-04-21,1169.29
2004-04-22,1175.29
2004-04-23,1176.5
2004-04-26,1183.23
2004-04-27,1187.5
2004-04-28,1164.65
2004-04-29,1164.54
2004-04-30,1158.22
2004-05-03,1161.66
2004-05-04,1179.14
2004-05-05,1188.79
2004-05-06,1168.49
2004-05-07,1152.95
2004-05-10,1117.48
2004-05-11,1124.88
2004-05-12,1121.69
2004-05-13,1127.93
2004-05-14,1122.56
2004-05-17,1119.47
2004-05-18,1124.19
2004-05-19,1149.29
2004-05-20,1132.07
2004-05-21,1139.32
2004-05-24,1139.86
2004-05-25,1146.95
2004-05-26,1155.92
2004-05-27,1178.23
2004-05-28,1168.91
2004-05-31,1171.02
2004-06-01,1164.02
2004-06-02,1173.46
2004-06-03,1174.98
2004-06-04,1182.95
2004-06-07,1197.87
2004-06-08,1196.78
2004-06-09,1180.32
2004-06-10,1182.07
2004-06-11,1172.62
2004-06-14,1163.2
2004-06-15,1171.23
2004-06-16,1176.28
2004-06-17,1180.53
2004-06-18,1190.8
2004-06-21,1186.27
2004-06-22,1173.7
2004-06-23,1177.56
2004-06-24,1190.93
2004-06-25,1186.92
2004-06-28,1199.8
2004-06-29,1187.23
2004-06-30,1183.77
2004-07-01,1179.39
2004-07-02,1185.44
2004-07-05,1182.1
2004-07-06,1176.38
2004-07-07,1183.1
2004-07-08,1190.23
2004-07-09,1188.38
2004-07-12,1184.89
2004-07-13,1178.58
2004-07-14,1182.9
2004-07-15,1168.72
2004-07-16,1178.34
2004-07-19,1170.3
2004-07-20,1168.54
2004-07-21,1165.44
2004-07-22,1151.92
2004-07-23,1139.77
2004-07-26,1132.83
2004-07-27,1134.61
2004-07-28,1135.65
2004-07-29,1151.85
2004-07-30,1150.15
2004-08-02,1148.61
2004-08-03,1154.74
2004-08-04,1144.87
2004-08-05,1145.82
2004-08-06,1139.36
2004-08-09,1129.59
2004-08-10,1141.77
2004-08-11,1123.33
2004-08-12,1123.36
2004-08-13,1130.56
2004-08-16,1140.54
2004-08-17,1140.7
2004-08-18,1137.83
2004-08-19,1146.23
